X,Y,E
319.664,4.34769,0.0739342
321.262,4.45408,0.0748944
322.868,4.64364,0.0765838
324.483,4.60866,0.0763932
326.105,4.62907,0.0766706
327.736,4.58308,0.0763944
329.374,4.50856,0.0759282
331.021,4.50432,0.0759714
332.676,4.51222,0.076169
334.34,4.44607,0.0757321
336.011,4.30147,0.0745667
337.691,4.19711,0.0738033
339.38,4.14022,0.0733441
341.077,4.17412,0.0737616
342.782,4.04432,0.0726739
344.496,3.87321,0.0711875
346.218,3.75783,0.0702394
347.95,3.81639,0.0708481
349.689,3.84251,0.0711979
351.438,3.96871,0.0724481
353.195,4.04818,0.0732367
354.961,4.17592,0.0744561
356.736,4.44192,0.0769647
358.519,4.78285,0.079973
360.312,5.27835,0.0841172
362.114,6.36104,0.0924902
363.924,7.15468,0.0981953
365.744,8.04671,0.104271
367.572,7.69661,0.102162
369.41,6.34323,0.0929074
371.257,5.27404,0.0848233
373.114,4.49001,0.0784516
374.979,4.17987,0.075777
376.854,4.13491,0.075508
378.738,4.30841,0.0771659
380.632,4.6868,0.0806152
382.535,5.08673,0.0840674
384.448,5.63014,0.0885878
386.37,5.94654,0.0911446
